Participant.ID,PRE.POST,Condition,a(1),v(1),t(1),z(1),dc(1)
P045,Blank,Blank,0.875648141,5.014591594,0.1987163,0.339403069,-1.070357613
P046,Blank,Blank,1.012382066,4.47672878,0.178662618,0.241961792,0.336793425
P047,Blank,Blank,1.047690074,4.271463476,0.174724455,0.227190359,0.670433559
P048,Blank,Blank,0.961763344,4.657899017,0.185277109,0.278707415,-0.202726089
P049,Blank,Blank,1.014925511,4.512005793,0.177555356,0.245465801,0.234280407
P050,Blank,Blank,0.995775661,4.523365387,0.179751459,0.255601783,0.083927359
P051,Blank,Blank,0.976394979,4.737912014,0.183302126,0.268685084,-0.189378531
P052,Blank,Blank,0.925383257,4.653080328,0.191319216,0.297496626,-0.383781418
P053,Blank,Blank,0.955079439,4.50881172,0.18645246,0.275754478,-0.009359616
P054,Blank,Blank,0.937545662,4.706031463,0.189236383,0.290270446,-0.303185193
P001,Blank,Blank,0.98270591,4.561219819,0.182444463,0.259876439,0.040995218
P002,Blank,Blank,1.088709121,4.407586621,0.168354289,0.212031004,0.687458357
P003,Blank,Blank,0.898535671,4.82431974,0.194994054,0.320419642,-0.727484518
P004,Blank,Blank,0.946307412,4.639787216,0.187224374,0.278897648,-0.212647419
P005,Blank,Blank,0.921626808,4.662299041,0.191357069,0.290010524,-0.358531662
P006,Blank,Blank,0.969067061,4.495593457,0.184237105,0.262896798,0.084617132
P007,Blank,Blank,0.972142453,4.509905109,0.184598417,0.265455437,0.096873945
P008,Blank,Blank,0.912809823,4.841888354,0.193676587,0.300746337,-0.512251642
P009,Blank,Blank,1.027543043,4.376639849,0.176430667,0.233090157,0.465497851
P010,Blank,Blank,0.891347433,4.88893195,0.19592584,0.323448175,-0.820858721
P011,Blank,Blank,0.884696939,5.023083085,0.196777908,0.329834189,-1.018042203
P012,Blank,Blank,0.932138827,4.602467985,0.190848046,0.291710569,-0.231604259
P013,Blank,Blank,0.914364386,5.306485933,0.193025934,0.308181398,-1.120111308
P014,Blank,Blank,0.99648908,4.463514996,0.1806207,0.248168958,0.261547569
P015,Blank,Blank,0.923067845,4.7958044,0.191476863,0.296705782,-0.485826862
P016,Blank,Blank,0.957526869,4.686980362,0.184912019,0.271314106,-0.181477478
P017,Blank,Blank,0.925015036,4.775507689,0.191140094,0.302557126,-0.511770196
P018,Blank,Blank,0.978853848,4.455527202,0.182289245,0.26300528,0.105678252
P020,Blank,Blank,0.941816722,4.449671083,0.187996747,0.275914302,0.012150481
P021,Blank,Blank,0.912116523,4.785736823,0.192945538,0.306782404,-0.594102282
P022,Blank,Blank,0.888465496,4.857241006,0.196790638,0.330478841,-0.854626079
P023,Blank,Blank,0.978064562,4.416173687,0.182341907,0.262304808,0.127477726
P024,Blank,Blank,1.261150257,4.235190471,0.149532284,0.164340517,1.447454992
P025,Blank,Blank,1.008440677,4.420481304,0.178708674,0.243815019,0.323474479
P026,Blank,Blank,0.960501331,4.64512207,0.185529945,0.276533948,-0.190026131
P027,Blank,Blank,0.881246845,5.013342935,0.198044107,0.338961483,-1.077976519
P028,Blank,Blank,0.937406941,4.619603134,0.189025825,0.285366304,-0.227209374
P029,Blank,Blank,0.985518491,4.458580842,0.181733179,0.253919191,0.202620309
P030,Blank,Blank,0.960068306,4.622801674,0.18568998,0.272187379,-0.100561419
P031,Blank,Blank,0.923917451,4.927573045,0.190121766,0.290429936,-0.592247644
P032,Blank,Blank,0.884958534,5.069982528,0.197080562,0.325471312,-1.006618017
P033,Blank,Blank,0.945981531,4.633661575,0.186185198,0.288257707,-0.314021915
P034,Blank,Blank,0.871291769,5.190863127,0.197613434,0.335568571,-1.263264402
P035,Blank,Blank,0.961590602,4.40228464,0.184714109,0.269205525,0.099537908
P036,Blank,Blank,1.013524487,4.368289451,0.178216072,0.240801218,0.418868448
P037,Blank,Blank,0.972961022,4.411106774,0.183912923,0.260809752,0.235162412
P038,Blank,Blank,0.939859816,4.670083457,0.187988162,0.282371908,-0.322064198
P039,Blank,Blank,0.935985475,4.462854576,0.190000676,0.289863856,-0.029451784
P040,Blank,Blank,0.888372465,4.738687185,0.195814274,0.32866745,-0.653814414
P041,Blank,Blank,0.987506234,4.521551925,0.182045542,0.258531554,0.103503617
P042,Blank,Blank,0.931787787,4.899240861,0.191656628,0.282069765,-0.40352313
P043,Blank,Blank,1.02869286,4.418007142,0.176237798,0.232979332,0.42075631
P044,Blank,Blank,0.955551099,4.569164721,0.184789921,0.275718121,-0.157717218
P045,Blank,Blank,1.0766673,4.457425504,0.170608109,0.216460202,0.581178521
P046,Blank,Blank,0.92790714,4.627129105,0.191715458,0.303972805,-0.349623381
P047,Blank,Blank,0.929589438,4.746187094,0.188711659,0.288812685,-0.400367767
P048,Blank,Blank,0.888116331,4.845255184,0.195079817,0.320746499,-0.783193786
P049,Blank,Blank,0.925475744,4.667524273,0.190953079,0.295590256,-0.363935584
P050,Blank,Blank,0.928372841,4.687327274,0.189787833,0.292277455,-0.367496761
P051,Blank,Blank,0.909960659,4.692522984,0.192222766,0.304349242,-0.494124736
P052,Blank,Blank,0.989895849,4.623898429,0.181803336,0.256763284,0.042408632
P053,Blank,Blank,0.955560234,4.637080183,0.18687923,0.280147086,-0.220085411
P054,Blank,Blank,0.881726344,4.984894513,0.196901591,0.33588815,-1.010774078
