Participant.ID,PRE.POST,Condition,a(1),v(1),t(1),z_trans(1),z(1),dc(1),likelihood,penalty,bic
P043,PRE,Happy,0.590293319,4.129128242,0.235255965,-0.167049028,0.458334589,0.285021557,-536.0207923,30.45104289,566.4718352
P044,PRE,Happy,0.613055829,3.958932762,0.246320207,-1.269732644,0.219303023,2.481319556,-502.0703083,30.45104289,532.5213512
P045,PRE,Happy,0.640466766,2.875381558,0.206792717,-0.560399379,0.363455056,1.030132471,-546.2642332,30.45104289,576.7152761
P046,PRE,Happy,0.788334746,4.223972829,0.194873167,-0.532964064,0.369825833,2.302279172,-505.564184,30.45104289,536.0152269
P047,PRE,Happy,0.764394893,1.332007368,0.145891477,-0.191355426,0.452306587,2.300691363,-633.4179636,30.45104289,663.8690065
P048,PRE,Happy,0.723831066,2.165162706,0.209884097,-0.760582835,0.31851974,2.745075805,-588.1112968,30.45104289,618.5623397
P049,PRE,Happy,2.132254628,7.14153559,0.127597748,-2.680381758,0.064140957,5.445110099,-472.2857513,30.45104289,502.7367942
P050,PRE,Happy,0.740959774,2.538857758,0.178224537,-0.177077949,0.45584583,1.458704675,-565.6339332,30.45104289,596.0849761
P051,PRE,Happy,0.867158366,1.02024678,0.140491278,-0.897311201,0.28960336,3.628366487,-625.9651299,30.45104289,656.4161728
P052,PRE,Happy,1.441964061,5.605618591,0.206106991,0.854509037,0.70151216,1.7437463,-454.9717532,30.45104289,485.4227961
P053,PRE,Happy,2.582952393,0.051560916,0.01727787,-3.480332307,0.029877047,10.13923463,-614.9489944,30.45104289,645.4000373
P054,PRE,Happy,0.710647955,2.70753413,0.213095571,-0.319705349,0.420747558,1.78765668,-576.6736339,30.45104289,607.1246768
P001,POST,Happy,0.606187047,2.914713132,0.206501765,-0.347376473,0.414018764,1.242329095,-548.1882741,30.45104289,578.639317
P002,POST,Happy,0.797860772,2.622190442,0.185892989,-0.510573225,0.375059158,1.582117538,-564.1155033,30.45104289,594.5665462
P003,POST,Happy,0.650710103,3.412058186,0.226367425,0.187289406,0.546685963,0.73364024,-519.4291336,30.45104289,549.8801765
P004,POST,Happy,1.122921849,2.003907151,0.09740967,-0.690502125,0.333921382,1.95727826,-602.6675427,30.45104289,633.1185856
P005,POST,Happy,1.08246702,6.371243253,0.193388295,-1.366477779,0.20318951,3.234824023,-459.0046007,30.45104289,489.4556436
P006,POST,Happy,0.837679015,4.404645867,0.219784668,-0.984510569,0.271997706,2.439660212,-495.034563,30.45104289,525.4856059
P007,POST,Happy,0.747723292,3.162666398,0.211896928,-0.909357788,0.287131272,1.30034077,-534.1296437,30.45104289,564.5806866
P008,POST,Happy,2.579742262,-0.274185085,0.017200735,-3.608404028,0.02638028,9.575619733,-601.8812154,30.45104289,632.3322583
P009,POST,Happy,0.71483037,1.899691482,0.20637794,-0.313376044,0.4222909,1.725284084,-644.2088755,30.45104289,674.6599184
P010,POST,Happy,0.751207028,2.613733901,0.229543809,-0.994618692,0.270000765,2.838358302,-577.5662971,30.45104289,608.01734
P011,POST,Happy,2.695671052,-0.427641679,0.01359887,-3.408145952,0.032041851,9.878968719,-625.7180867,30.45104289,656.1691296
P012,POST,Happy,0.670280595,4.742715695,0.223332776,-0.221069787,0.444956544,0.474602809,-477.8714958,30.45104289,508.3225387
P013,POST,Happy,0.870470341,3.453425655,0.180237081,-0.876300965,0.293944896,2.404197857,-536.4285035,30.45104289,566.8795464
P014,POST,Happy,1.514992775,5.737449055,0.144978372,-2.213989423,0.098501249,4.196261752,-498.6412419,30.45104289,529.0922848
P015,POST,Happy,0.686561311,7.154311275,0.219236616,-0.920984359,0.284757367,0.45101709,-473.683227,30.45104289,504.1342699
P016,POST,Happy,0.611559974,2.808668222,0.213958734,-0.028417465,0.492896112,1.21717219,-597.4089042,30.45104289,627.859947
P017,POST,Happy,0.812347634,2.12706658,0.187686781,-0.663944615,0.339854066,2.1964697,-602.5377245,30.45104289,632.9887674
P018,POST,Happy,0.755797305,2.994322523,0.176658597,-0.358719371,0.411269605,1.315032207,-552.3449041,30.45104289,582.795947
P020,POST,Happy,0.907230357,4.486898169,0.185819853,-0.629663712,0.347586794,1.791252248,-483.5680629,30.45104289,514.0191058
P021,POST,Happy,0.640601028,3.206877622,0.231702224,-0.492954251,0.379197869,1.453190302,-563.4661403,30.45104289,593.9171831
P022,POST,Happy,0.77670078,3.273879025,0.18443948,-0.008650359,0.497837424,1.912134101,-568.5448876,30.45104289,598.9959305
P023,POST,Happy,0.762805767,3.261807215,0.192103682,-0.39819328,0.401746501,0.989965193,-524.8590191,30.45104289,555.310062
P024,POST,Happy,0.747500067,2.35813451,0.19610182,-0.412134942,0.398400313,2.369065675,-581.1566311,30.45104289,611.607674
P025,POST,Happy,0.963097089,3.102054932,0.203679477,-1.985488879,0.120734935,2.8519903,-523.2765111,30.45104289,553.727554
P026,POST,Happy,0.743191639,3.561469466,0.228417065,0.107539901,0.526859095,1.285437924,-512.7594385,30.45104289,543.2104814
P027,POST,Happy,0.87402196,4.134293313,0.189009661,-1.047223679,0.259758587,2.061180784,-481.6746877,30.45104289,512.1257306
P028,POST,Happy,0.796351719,1.102505047,0.152864771,-0.817952847,0.306198386,2.348190822,-614.3748794,30.45104289,644.8259223
P029,POST,Happy,0.772373929,2.981759457,0.185889726,-0.608046492,0.352504948,1.998440431,-308.1451563,26.29215981,334.4373161
P030,POST,Happy,0.775949335,3.348081463,0.206975321,-0.762445515,0.318115554,1.515721141,-542.514372,30.45104289,572.9654149
